Designator,Footprint,Quantity,Value,LCSC Part #
"_4, _2",,2,,
"_3, ",mounting_hole,2,mounting_hole,
A1,AD8552,1,AD8552,
C12,C_0805,1,4.7uF,
"C13, C14, C15",C_0603,3,10nF,
C16,C_1206,1,10uF,
"C18, C23, C32",C_0603,3,100nF,
D1,LED_3mm_THT,1,~,
G2,GPIO_HEADER,1,Module Connector,
J1,ATtiny_Programming_Header,1,Program Header,
M1,MiCS-6814,1,MiCS-6814,
O1,AO_03,1,AO-03,
"R1, R4",R_0603,2,100R,
R10,R_0603,1,27R,
R11,R_0603,1,130,
R12,R_0603,1,820R,
"R2, R3",R_0603,2,10K,
R5,R_0603,1,400K,
R6,R_0603,1,220,
S5,MH-Z1911A,1,MH-Z1911A,
U6,ATtiny1614,1,~,
U9,SN74LVC125,1,Buffer,
