Designator,Mid X,Mid Y,Rotation,Layer
_4,97.0,-63.0,0.0,top
_3,181.9,-72.7,0.0,top
_2,97.0,-128.0,0.0,top
,181.9,-137.7,0.0,top
A1,138.8875,-119.2,90.0,top
C12,148.7,-115.45,270.0,top
C13,130.0,-124.5,90.0,top
C14,135.5,-124.5,90.0,top
C15,140.95,-121.75,180.0,top
C16,134.5,-112.46,180.0,top
C18,150.25,-103.5,270.0,top
C23,104.5,-92.25,270.0,top
C32,104.5,-96.25,270.0,top
D1,179.23,-106.5,0.0,top
G2,91.9,-97.94,270.0,top
J1,160.46,-98.5,180.0,top
M1,176.03,-94.5,180.0,top
O1,163.5,-123.45,0.0,top
R1,145.45,-115.5,90.0,top
R10,182.81,-95.75,0.0,top
R11,182.81,-91.25,0.0,top
R12,174.75,-101.0,90.0,top
R2,141.45,-114.5,180.0,top
R3,141.45,-116.5,180.0,top
R4,129.0,-112.25,180.0,top
R5,140.95,-119.75,180.0,top
R6,179.5,-110.5,0.0,top
S5,162.55,-70.8,180.0,top
U6,166.4375,-93.9,90.0,top
U9,148.0,-95.75,180.0,top
