Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C13, C14, C5, C6, C7, C8",0603,8,100nF,
"C11, C12, C2, C3",0603,4,12pF,
C15,0603,1,1uF,
C4,0603,1,4.7uF,
C9,CP_Elec_4x5.4,1,10uF,
D1,0603,1,GREEN,
D2,0603,1,RED,
J1,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,1,JST,
J2,PinHeader_1x06_P2.54mm_Vertical,1,Dupont,
J3,PinHeader_1x04_P2.54mm_Vertical,1,Dupont,
J4,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,JST,
"J5, J6",JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,2,JST,
Q1,SOT-23,1,AO3400A,
"R1, R5",0603,2,10K,
"R2, R3",0603,2,330,
R4,0603,1,100,
R6,0603,1,1K,
SW1,SW_Tactile3x2.5,1,SW_Push,
U1,TQFP-64_14x14mm_P0.8mm,1,ATmega128A,
U2,BNO055_Hand_Soldering_LGA-28_5.2x3.8mm_P0.5mm,1,BNO055,
Y1,crys_osc_smd3225_4,1,16MHz,
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768kHz,
