Designator,Mid X,Mid Y,Rotation,Layer
C1,138.9,-96.35,0.0,top
C10,124.6,-90.4,135.0,top
C11,138.9,-105.7,0.0,top
C12,138.9,-111.9,0.0,top
C13,138.9,-113.7,180.0,top
C14,141.6,-108.3,315.0,top
C15,138.9,-115.9,180.0,top
C2,153.8,-112.85,270.0,top
C3,151.0,-113.775,0.0,top
C4,141.6,-91.2,270.0,top
C5,146.4,-109.8,0.0,top
C6,153.15,-90.2,180.0,top
C7,144.8,-90.2,0.0,top
C8,148.95,-90.2,180.0,top
C9,126.7,-87.7,315.0,top
D1,155.8,-110.775,90.0,top
D2,157.7,-110.775,90.0,top
J1,134.0,-97.6,270.0,top
J2,148.87,-87.5,90.0,top
J3,138.9,-89.79,0.0,top
J4,126.825,-98.83,270.0,top
J5,125.775,-111.2075,90.0,top
J6,132.975,-111.2,90.0,top
Q1,132.7375,-86.0,0.0,top
R1,138.9,-103.927847,180.0,top
R2,155.8,-114.575,270.0,top
R3,157.7,-114.575,270.0,top
R4,135.2,-88.7,180.0,top
R5,135.9,-85.96,270.0,top
R6,131.6,-88.7,180.0,top
SW1,138.9,-100.15,270.0,top
U1,149.9375,-100.0,270.0,top
U2,144.575,-113.85,0.0,top
Y1,150.6,-110.85,180.0,top
Y2,138.4,-108.75,270.0,top
