Designator,Footprint,Quantity,Value,LCSC Part #
"_3, _2, ",,3,,
100R1,SMD_3P_3.8X3.6,1,Potentiometer,
"C10, C5, C9",C_1206,3,10n 1000V,
C12,C_0603,1,100nF,
C6,C_0603,1,270pF,
"D2, D3, D4",SMA(DO-214AC),3,ES1J,
D5,LED_3mm_THT,1,~,
G2,gpio_1,1,TEST,
J3,Jumper_2,1,jmp1,
L1,SMD(7.1x6.6),1,100uH,
L2,C_0603,1,10mH,
"Q1, Q3, Q4",SOT-23,3,S8050,
Q2,SOT-23,1,MMBTA42,
"R1, R2",R_0603,2,33k,
"R10, R7, R9",R_0603,3,470K,
"R12, R6",R_0603,2,10K,
"R13, R14, R15, R16, R17, R5",R_0603,6,10M,
R18,R_0603,1,220,
R3,R_0603,1,3k,
R4,R_0603,1,100k,
R8,R_0603,1,47K,
S1,buzzer_8.5x8.5,1,Speaker,
T1,SOT353,1,74LVC1G17GW,
"U1, U2",SOIC-8,2,TLC555,
U3,ATtiny1614,1,ATTINY1614,
