"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"100R1","1","Potentiometer","","","","",""
"C1,C2","2","100uF","","Excluded from BOM","","",""
"C3,C7,C8,C11,C12","5","100nF","","Excluded from BOM","","",""
"C4","1","1n","","Excluded from BOM","","",""
"C5,C9,C10","3","10n 1000V","","","","",""
"C6","1","270pF","","","","",""
"D1","1","~","","Excluded from BOM","","",""
"D2,D3,D4","3","ES1J","","","","",""
"G1","1","Geiger Tube","","Excluded from BOM","","",""
"g2","1","TEST","","Excluded from BOM","","",""
"G3","1","GPIO","","Excluded from BOM","","",""
"J1,J3","2","jmp1","","Excluded from BOM","","",""
"J2","1","Programming Header","","Excluded from BOM","","",""
"L1","1","100uH","","","","",""
"L2","1","10mH","","","","",""
"Q1,Q3,Q4","3","S8050","","","","",""
"Q2","1","MMBTA42","","","","",""
"R1,R2","2","33k","","","","",""
"R3","1","3k","","","","",""
"R4","1","100k","","","","",""
"R5,R13,R14,R15,R16,R17","6","10M","","","","",""
"R6,R12","2","10K","","","","",""
"R7,R9,R10","3","470K","","","","",""
"R8","1","47K","","","","",""
"R11","1","1K","","Excluded from BOM","","",""
"S1","1","Speaker","","","","",""
"U1,U2","2","TLC555","","","","",""
"U3","1","ATTINY1614","","","","",""
"U4","1","SN74LVC125","","","","",""
