Designator,Mid X,Mid Y,Rotation,Layer
BT1,156.45,-108.2,0.0,top
BZ1,135.5,-69.7,270.0,top
C1,128.4,-81.4,90.0,top
C10,159.1,-93.0,180.0,top
C11,155.7,-89.8,45.0,top
C12,159.15,-82.96,0.0,top
C13,159.15,-81.36,180.0,top
C14,147.4,-81.5,0.0,top
C15,155.9,-101.4,180.0,top
C16,146.9,-102.7,90.0,top
C17,147.2,-95.8,90.0,top
C18,120.9,-82.49,0.0,top
C19,120.9,-80.8,0.0,top
C2,125.8,-91.3,270.0,top
C20,147.2,-111.0,270.0,top
C21,141.0,-114.7,180.0,top
C22,137.7,-109.3,270.0,top
C23,134.4,-114.7,180.0,top
C3,131.7,-93.6,270.0,top
C4,142.1,-92.4,180.0,top
C5,129.0,-87.1,180.0,top
C6,129.0,-88.7,180.0,top
C7,142.6,-88.31,90.0,top
C8,144.3,-89.6,90.0,top
C9,153.3,-94.3,90.0,top
D1,159.10625,-95.3,180.0,top
D10,139.2,-123.9,0.0,top
D11,144.5,-123.1,90.0,top
D12,146.3,-118.6,0.0,top
D2,142.8,-82.4,90.0,top
D3,141.1,-82.4,90.0,top
D4,144.7,-102.0,270.0,top
D5,152.8,-118.4,0.0,top
D6,155.1,-115.5,180.0,top
D7,150.5,-123.1,270.0,top
D8,147.5,-123.1,90.0,top
D9,133.0,-123.9,0.0,top
J1,116.7,-87.75,180.0,top
J2,134.79,-76.2,90.0,top
J3,121.9,-89.1,0.0,top
J4,143.3,-72.4,90.0,top
J5,150.105,-72.39,90.0,top
J6,156.905,-72.39,90.0,top
L1,152.6,-85.3,45.0,top
M1,156.45,-124.3,180.0,top
M2,138.75,-118.5,0.0,top
Q1,119.25,-116.8,270.0,top
Q10,131.0875,-109.6,180.0,top
Q11,125.2,-103.37,90.0,top
Q12,130.17,-105.0,180.0,top
Q2,123.0,-125.65,0.0,top
Q3,119.0625,-109.55,180.0,top
Q4,123.0625,-109.6,180.0,top
Q5,120.2,-104.27,90.0,top
Q6,120.2,-98.6,90.0,top
Q7,124.3,-116.8,270.0,top
Q8,129.35,-116.8,270.0,top
Q9,127.0625,-109.55,180.0,top
R1,159.10625,-96.9,180.0,top
R10,147.1,-84.3,90.0,top
R11,148.2,-89.7,135.0,top
R12,151.5,-98.4,270.0,top
R13,124.9,-80.8,180.0,top
R14,124.9,-82.5,180.0,top
R15,123.4,-96.9,270.0,top
R16,128.5,-96.9,270.0,top
R17,125.1,-96.9,90.0,top
R18,126.8,-96.9,90.0,top
R19,116.9,-115.2,270.0,top
R2,134.9,-81.6,180.0,top
R20,116.9,-125.5,90.0,top
R21,124.1,-99.6,180.0,top
R22,127.6,-99.6,180.0,top
R23,130.2,-98.2,270.0,top
R24,135.3,-99.5,270.0,top
R25,131.9,-98.8,90.0,top
R26,133.6,-99.5,90.0,top
R27,129.1,-123.9,90.0,top
R28,133.7,-120.4,270.0,top
R29,130.9,-101.6,180.0,top
R3,144.5,-82.4,90.0,top
R30,134.4,-102.2,180.0,top
R4,144.5,-86.0,270.0,top
R5,134.9,-78.8,0.0,top
R6,139.3,-79.7,270.0,top
R7,137.6,-80.7,270.0,top
R8,159.1,-91.3,0.0,top
R9,156.6,-92.8,90.0,top
SD1,122.02,-72.0231,0.0,top
SW1,130.95,-80.9,90.0,top
U1,136.2375,-87.9,270.0,top
U2,159.1,-87.3,90.0,top
U3,139.9,-98.05,270.0,top
Y1,128.4,-91.8,270.0,top
